Date,Open,High,Low,Close,Adj Close,Volume
2020-01-28,40.880001,41.09,40.23,40.57,40.57,783000
2020-01-29,40.709999,41.240002,40.400002,40.599998,40.599998,377500
2020-01-30,39.619999,40.34,38.099998,39.25,39.25,867900
2020-01-31,39.169998,39.290001,37.759998,37.91,37.91,824100
2020-02-03,37.880001,38.18,37.349998,37.490002,37.490002,1102100
2020-02-04,38.23,39.779999,38.16,38.84,38.84,869100
2020-02-05,39.09,39.709999,38.689999,39.41,39.41,490200
2020-02-06,39.439999,39.75,39.09,39.169998,39.169998,337800
2020-02-07,39.139999,39.470001,37.700001,37.84,37.84,931200
2020-02-10,37.779999,38.0,36.439999,36.490002,36.490002,1049500
2020-02-11,36.560001,37.200001,36.110001,36.52,36.52,811300
2020-02-12,36.759998,38.48,36.759998,37.860001,37.860001,1040100
2020-02-13,37.41,39.060001,37.400002,38.57,38.57,723900
2020-02-14,38.700001,38.959999,37.16,37.310001,37.310001,614200
2020-02-18,37.060001,38.34,37.060001,38.27,38.27,928600
2020-02-19,38.59,39.240002,38.299999,38.849998,38.849998,838100
2020-02-20,38.73,38.73,36.259998,36.900002,36.900002,882300
2020-02-21,36.799999,37.709999,36.200001,36.700001,36.700001,819900
2020-02-24,35.16,35.599998,34.18,35.389999,35.389999,1231900
2020-02-25,35.66,35.66,33.82,34.209999,34.209999,1034200
2020-02-26,34.439999,35.299999,33.669998,33.869999,33.869999,1686200
2020-02-27,28.35,30.799999,26.77,28.450001,28.450001,4289200
2020-02-28,26.799999,28.290001,25.110001,26.17,26.17,2975800
2020-03-02,26.780001,27.190001,25.43,26.540001,26.540001,2160100
2020-03-03,26.83,28.450001,25.6,26.07,26.07,2574100
2020-03-04,26.43,26.9,25.5,26.870001,26.870001,1239300
2020-03-05,25.9,26.33,23.959999,24.15,24.15,1745600
2020-03-06,23.1,24.379999,23.049999,24.23,24.23,1873300
2020-03-09,22.040001,23.379999,21.549999,21.559999,21.559999,1442700
2020-03-10,22.450001,23.219999,21.17,22.6,22.6,1387400
2020-03-11,22.15,22.66,20.049999,20.34,20.34,1333400
2020-03-12,18.860001,20.9,17.389999,18.16,18.16,2352000
2020-03-13,19.59,19.93,17.030001,19.34,19.34,1990600
2020-03-16,16.16,17.74,16.16,16.58,16.58,1904100
2020-03-17,16.93,17.41,14.01,14.42,14.42,2704200
2020-03-18,13.56,13.56,8.4,10.86,10.86,3579000
2020-03-19,10.86,12.27,10.71,11.5,11.5,2853500
2020-03-20,11.79,13.48,10.47,10.77,10.77,3675800
2020-03-23,10.91,13.27,9.68,12.54,12.54,2098300
2020-03-24,13.46,15.93,13.19,15.07,15.07,2085000
2020-03-25,15.54,19.74,15.0,18.639999,18.639999,4203200
2020-03-26,18.879999,19.85,17.93,18.43,18.43,2284100
2020-03-27,18.0,18.51,16.58,18.030001,18.030001,1058700
