Date,Open,High,Low,Close,Adj Close,Volume
2022-01-14,124.000000,125.809998,118.209999,122.540001,122.540001,2594300
2022-01-18,119.000000,122.699997,117.720001,118.059998,118.059998,1640200
2022-01-19,118.099998,121.540001,113.349998,113.519997,113.519997,1642700
2022-01-20,115.360001,117.230003,106.349998,106.570000,106.570000,2826700
2022-01-21,104.910004,107.769997,100.459999,102.139999,102.139999,3367000
2022-01-24,96.449997,106.839996,94.709999,106.129997,106.129997,3081700
2022-01-25,103.010002,103.540001,100.010002,101.389999,101.389999,2050000
2022-01-26,104.379997,104.709999,93.989998,94.779999,94.779999,2704500
2022-01-27,97.500000,98.910004,92.870003,93.779999,93.779999,1947200
2022-01-28,94.400002,96.629997,89.599998,96.510002,96.510002,1647200
2022-01-31,96.570000,102.900002,96.470001,102.620003,102.620003,1588600
2022-02-01,103.260002,104.160004,99.410004,103.660004,103.660004,1314100
2022-02-02,106.360001,106.400002,101.510002,103.610001,103.610001,1157100
2022-02-03,100.250000,102.940002,98.370003,98.830002,98.830002,1336400
2022-02-04,99.349998,101.120003,97.120003,99.739998,99.739998,1232400
2022-02-07,99.959999,102.510002,99.389999,100.309998,100.309998,756500
2022-02-08,100.199997,103.599998,98.650002,103.279999,103.279999,814500
2022-02-09,105.980003,109.230003,104.930000,108.389999,108.389999,1816300
2022-02-10,105.440002,111.180000,104.160004,105.220001,105.220001,1599800
2022-02-11,104.779999,105.699997,96.550003,98.199997,98.199997,2263500
2022-02-14,99.180000,100.930000,96.800003,97.730003,97.730003,1455600
2022-02-15,100.300003,102.010002,99.080002,101.230003,101.230003,1731500
2022-02-16,93.800003,97.900002,93.010002,94.800003,94.800003,4126500
2022-02-17,94.540001,94.760002,82.050003,82.089996,82.089996,5147400
2022-02-18,83.910004,84.029999,78.830002,79.260002,79.260002,3415600
2022-02-22,78.489998,83.660004,78.150002,81.190002,81.190002,2533700
2022-02-23,82.250000,83.059998,79.440002,79.779999,79.779999,1984900
2022-02-24,76.480003,84.070000,75.709999,83.889999,83.889999,2096900
2022-02-25,83.139999,84.440002,80.809998,83.620003,83.620003,1510100
2022-02-28,82.059998,84.209999,80.639999,83.730003,83.730003,1801100
2022-03-01,83.730003,84.239998,79.389999,79.779999,79.779999,1543500
2022-03-02,80.730003,83.940002,80.000000,82.669998,82.669998,1412400
2022-03-03,82.660004,83.220001,76.180000,77.029999,77.029999,2020400
2022-03-04,76.300003,77.089996,70.639999,71.730003,71.730003,2114300
2022-03-07,73.430000,73.849998,67.250000,67.440002,67.440002,2404700
2022-03-08,67.970001,72.120003,67.029999,69.029999,69.029999,2464800
2022-03-09,71.620003,75.089996,71.589996,73.169998,73.169998,2394000
2022-03-10,71.250000,73.599998,70.739998,73.150002,73.150002,1070900
2022-03-11,73.940002,74.139999,69.949997,70.139999,70.139999,1258100
2022-03-14,70.620003,71.250000,66.500000,67.570000,67.570000,1723200
2022-03-15,68.120003,72.720001,68.120003,72.300003,72.300003,1492700
2022-03-16,74.680000,78.750000,74.029999,77.440002,77.440002,2373900
2022-03-17,76.150002,79.599998,75.610001,79.540001,79.540001,1489700
