,symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
0,AAPL,2023-09-30,2023,FY,24.344472588086393,6.160669263554378,7.021174930677783,6.325110448392176,3.9096860303942442,3.947223589389663,3.947223589389663,3.947223589389663,7.305596570578772,2695569789510.0,2776692789510.0,27.790811789370586,7.032807935374461,24.384807626986785,27.06830203155125,43.37479145093811,43.37479145093811,7.244459839310174,22.068771177157846,25.118666849189907,27.882920845818607,0.03598311584343425,0.03694358068098929,1.7875325845589418,0.3150690759338936,0.6447544110634239,0.9880116717592975,29.062039155860667,1.1396773029537606,0.005573960673721321,0.1549048920047425,0.0,0.07804897139204509,0.0,-0.0991378920420108,-0.02859230076835775,-0.9513846688080563,0.028263563666723196,23.391122856319186,0.5626888293615087,0.27509834563776475,-11.431345868845547,-1742000000,62146000000,-146871000000,1.7875325845589418,60958500000,63363000000,5638500000,58.07564866874519,106.72146803214763,10.791292490321615,6.284906124456834,3.420117870661705,33.82356657716001,1.5607601454639075,-0.6960644822856067
1,AAPL,2022-09-24,2022,FY,24.31727304755197,6.154614437637777,7.532762624088375,6.872425646259799,2.9787931805221803,3.124822127430853,3.124822127430853,3.124822127430853,7.585118441624466,2439367314090.0,2535790314090.0,24.441823533260525,6.186137718067193,19.970096962693717,21.888923611981014,48.14034011071204,48.14034011071204,6.430662580618166,19.42524045388039,20.75947240783948,22.754146192134094,0.040913477615088595,0.04568520671581333,2.3695334701610355,0.3403750478377344,0.738641499605488,0.8793560286267226,40.74957352439441,1.2239211246154926,0.006083954603424043,0.14870294480125848,0.0,0.06657148363798665,0.0,-0.08766199212450164,-0.02715505873283155,-0.9643371757925072,0.022920005680550203,20.801963754945305,0.5861678044404918,0.2829244092925685,-12.67929632054538,-18577000000,50672000000,-166678000000,2.3695334701610355,56219000000,59439000000,5763000000,56.400204905560855,104.6852773031054,8.07569806661716,6.471607693822622,3.486641191608828,45.19733117670845,1.9695887275023682,-0.6603369778285755
2,AAPL,2021-09-25,2021,FY,21.90354123925411,5.669029281123018,6.229345884552985,5.56562398361035,3.750552652516527,3.7775565837141025,3.7775565837141025,3.7775565837141025,7.6260059712817085,2453750882240.0,2543529882240.0,25.916253509083226,6.707591178758778,23.585140835463964,26.39775889148279,38.89286546584245,38.89286546584245,6.953011703228664,21.155006381276355,24.448085144274206,27.363612602498037,0.038585824129614886,0.03788200370004322,1.9768426058012363,0.35532276169366556,0.7467084743789143,1.0745531195957954,41.19054820415879,1.0988381918039714,0.0058958715429144335,0.15279890156316012,0.0,0.059904269074427925,0.0,-0.1065476076049136,-0.030302036264033657,-0.9823644097837646,0.021611898845597662,21.950837680915992,0.5029381969606235,0.26974205275183616,-10.97841529675105,9355000000,63090000000,-153076000000,1.9768426058012363,44475500000,48529500000,5320500000,51.390968708397914,93.85107122231561,11.27659274770989,7.102415252591931,3.889140478060004,32.367933130699086,1.5007132667617689,-0.6637219009426348
3,AAPL,2020-09-26,2020,FY,15.820258033039078,3.3085872682177895,4.649230448454163,4.2280138811865,5.241031369137106,3.765476712094932,3.765476712094932,3.765476712094932,6.645240272960322,1948295921320.0,2022715921320.0,33.93593425162425,7.0972293729668685,24.150233300939583,26.556204202548898,29.818269660080503,29.818269660080503,7.368325670072673,26.152202127120397,25.07271142276322,27.5705843565733,0.02946728952812424,0.03765598397921713,1.720809929750991,0.34714469199229364,0.9621948696731485,1.3636044481554577,23.07274625826662,1.405201093867029,0.007227341517226967,0.24526658654264863,0.0,0.06830956414039306,0.0,-0.09059920172546297,-0.026625138881299748,-0.661089001447178,0.024876600550061016,16.74258602902124,0.31907668773896114,0.1772557180259843,-7.9236288086774875,38321000000,65339000000,-114836000000,1.720809929750991,41624500000,44266000000,4083500000,49.78753437881355,91.04818971567418,8.741883356235881,7.331152356789959,4.008866086627577,41.75301649839941,0.8786635853012749,-0.4212165672676634
4,AAPL,2019-09-28,2019,FY,14.085283273500087,2.9914457730615696,3.7566854936751732,3.1885078588792926,5.443948396585932,4.898833522383005,4.898833522383005,4.898833522383005,6.043038792646076,1010474435880.0,1069677435880.0,18.287144126972635,3.8838409521320347,14.562038821749217,17.15692807457213,11.16694407965697,11.16694407965697,4.11139251377924,13.986916796945486,15.415218628928823,18.1621406526759,0.05468322407570733,0.0582854923476701,1.1940478295464592,0.3191784140188352,0.774128169253501,1.540125617208044,17.87751677852349,1.2558093238743304,0.013972644431824813,0.25551976255972203,0.0,0.06233136285716482,0.0,-0.15124439768846104,-0.04033838892433525,-0.8364549294652108,0.0233228531674956,18.158424594467483,0.2706681700005164,0.16323009842961633,-6.012829824545447,57101000000,90488000000,-85209000000,1.1940478295464592,47399500000,51062000000,4031000000,64.25876528784583,104.31407696777144,9.263638723714628,5.68015893808401,3.4990483605848257,39.40136385776912,0.6106445053487756,-0.5681776347958805
5,MSFT,2023-06-30,2023,FY,28.348657427309178,9.680000000460181,11.716169760510546,7.956191871690128,14.88393140021836,27.587217425061844,17.252930170386673,27.587217425061844,8.285007670271284,2545642039135.18,2570903039135.18,35.179752064443285,12.01256182495425,29.06581305673746,42.80188380218882,12.344122814308685,12.344122814308685,12.131765279169384,25.199249572500126,29.354239902436348,43.226616883315344,0.02842544194649727,0.02336345766045142,0.2907774593522546,0.14555459541332505,0.24760103114003704,1.76916725076573,44.98119918699187,1.2103481156976825,0.007777998514954823,0.2736280593137187,0.03574546398320081,0.12832975485454073,0.18751577761811367,-0.3209221072823183,-0.13263336715192411,-2.027775773753697,0.04535308968218389,77.51448868091765,0.2571474980531638,0.2161810924821644,-7.588314147484194,80108000000,128971000000,-21496000000,0.2907774593522546,46474500000,18547500000,3121000000,83.85966071302173,100.27898820278456,13.854516192703034,4.3525098586920805,3.639845261121857,26.3452,0.35088714643856406,-3.7599778888204187
6,MSFT,2022-06-30,2022,FY,26.304070775645634,9.650000000398004,11.812089279818476,8.643183068353949,13.89789449863474,22.094782645471202,11.63763094991494,22.094782645471202,8.40225810477614,1935886066241.4,1983225066241.4,26.614507770923037,9.763887962078982,21.7429782247588,29.71474721394649,11.62401115779443,11.62401115779443,10.002648238469764,20.240501579267832,22.274668009674844,30.441373869766228,0.037573492194829285,0.03365332347605011,0.36789518559882795,0.16793662975550927,0.48313482951124176,1.7846069708251824,40.41832283082889,1.224050702521378,0.009367803362110988,0.24931947537738183,0.029757401523175468,0.12362939426035205,0.21604538975989473,-0.2682765204694783,-0.12047208352246935,-1.6518672199170124,0.037837292580824126,69.26275826225661,0.30275121109621134,0.25431266563642846,-7.757657792670584,74602000000,87720000000,-28614000000,0.36789518559882795,41152000000,17081500000,3189000000,81.48113683361075,110.69433359936153,21.80095770151636,4.479564402069542,3.2973684210526315,16.742383752004276,0.4367546925099975,-3.1689062114645266
7,MSFT,2021-06-30,2021,FY,22.08399406157658,8.0500000008737,10.082371759348595,7.372980693134277,17.12374043371045,18.65488404178249,11.098886097400198,18.65488404178249,9.212744202987787,2061902347602.2998,2115453347602.2998,33.65217390939107,12.266802791408665,26.86867797240422,36.74226358035389,14.521666250685268,14.521666250685268,12.585391863799318,26.17616991192709,27.56650179309747,37.696520681462275,0.029715762277126988,0.02721661385431627,0.4773290700622588,0.20305351744717312,0.6626286873886359,2.0799936835218875,29.80221653878943,1.2524685413980512,0.008012503608239052,0.269638164874084,0.030382894674218265,0.12324496692208843,0.17230263138184249,-0.26872556684910087,-0.12268573604302509,-1.7646756803012151,0.036397601256484696,58.128012803076075,0.2746179608065977,0.22178102422285606,-4.152606249736659,95749000000,84477000000,-7385000000,0.4773290700622588,35027000000,13846500000,2265500000,82.6096746942078,105.95985219788636,18.420508500536073,4.418368688063507,3.4447009167051377,19.814871016691956,0.4315223821731414,-2.7093910662143177
8,MSFT,2020-06-30,2020,FY,18.603157110541904,5.7600000000832505,7.892504686096773,5.883964680196151,17.759208690213995,15.388790677939722,8.834272035537904,15.388790677939722,9.572336668235277,1564518456574.6099,1621940456574.6099,35.33159722171157,10.939541003213717,25.785223841361514,34.58722325185944,13.224560932636344,13.224560932636344,11.34105133429787,24.853896881267104,26.7316103267344,35.85666659094066,0.028303277480631175,0.02891241059503784,0.6001318636732486,0.2356302956081922,0.8799092845431281,2.5157654542940118,20.439598610575068,1.370226507983108,0.009675181482448772,0.34183961518484224,0.03573751005139321,0.1347341187987274,0.16723252718951515,-0.25448702101359705,-0.10796769569625564,-1.206705220381369,0.036982134741111075,44.65856325375698,0.22448107555089664,0.1764731669602506,-2.799839208730424,109605000000,67915000000,-1092000000,0.6001318636732486,30767500000,10956000000,1979000000,81.69782889906652,99.25452493597813,15.010959677069318,4.4676829839742584,3.677414205905826,24.3155672823219,0.37429841763592103,-2.0085400059006226
9,MSFT,2019-06-30,2019,FY,16.227461264984,5.060000000301743,6.729258410187219,4.933628950345176,17.255966871569292,13.195458716383216,6.776840978997396,13.195458716383216,10.451659531713988,1052190355668.4801,1119200355668.48,26.814229247412847,8.361135348557172,20.16269724381489,27.50105477439833,10.282325375437114,10.282325375437114,8.893624243450013,20.51357898180832,21.446782708986873,29.252492307069524,0.03729363207769563,0.036362241674124225,0.7658164761067136,0.2734753416435182,1.2282116607709086,2.5288389513108616,15.99367088607595,1.3298929663608563,0.013125951901759794,0.35196228338430174,0.0388182099918152,0.13410360528595155,0.17370426722874413,-0.2668391300182045,-0.11065375110256431,-1.192004793699709,0.036966696598142126,38.75955333785228,0.20646615853224898,0.16572345637300448,-3.511632263206351,106132000000,52554000000,-8674000000,0.7658164761067136,28002500000,8999500000,2362500000,85.63257392147358,79.80494057329294,17.548240503379166,4.262396694214876,4.5736516734171815,20.799806107610276,0.3834652594547054,-1.7956294598420433
